Employee SSN,EID,Prefix,First,MI,Last,Suffix,DOB,Sex,Marital Status,Country,Address 1,Address 2,City,State,Zip,Home Phone,Mobile Phone,Work Phone,Email,Personal Email,Payroll Frequency,Deduction Frequency,Gross Salary,Location Number,Location,Job Class,Pay Group,Department Number,Department,Title,FTE,Hours Per Week,Hire date,Eligibility Date,Status,Enrollment Status,Termination date,Event date,PIN,Require PIN Change,As Of,Session UserID,Session City,Session State,Hourly Wage,PTO Balance,PTO Cost,Mailing Country,Mailing Address 1,Mailing Address 2,Mailing City,Mailing State,Mailing Zip,Country of Citizenship,Event Code,Event Description,User ID,Birth Country
488-75-9484,6159,Mrs.,Jeremy,Q,Campbell,,1989-12-25,M,Married,USA,700 Riley Ville,,Lawrenceberg,NY,19607,+1-400-264-3651x9111,001-917-991-1722x060,548-928-5148,tina13@hotmail.com,dscott@norris-white.com,Monthly,Bi-Weekly,82012.38,167,Harrismouth,Geophysical data processor,Monthly,57,Reinvent killer methodologies,Software Engineer,0.75,20,2020-07-19,2021-01-27,Active,Waived,,,3193,Y,2025-02-05,johnbanks,North Anthony,GA,23.63,98.49,73.97,Germany,027 Richardson Manor,,Cunninghambury,NY,53783,Canada,6757,Optimized bandwidth-monitored policy,jonesjose,India
232-66-6342,9376,Dr.,Brenda,Q,Hernandez,,1978-12-06,M,Widowed,UK,0647 Elaine Turnpike Suite 279,,Carneychester,TX,71027,945.255.9185x62920,(760)408-1792,603.991.8451,chad52@hotmail.com,kelly37@roberts.com,Monthly,Monthly,96470.52,183,Lake Jessica,Financial manager,Weekly,92,Engineer 24/365 e-tailers,Project Manager,0.86,20,2024-05-17,2022-08-14,On Leave,Waived,,,3047,N,2025-04-30,mmcfarland,New Evanfurt,CA,22.15,20.73,2814.79,India,97524 Joshua Ways,,West Adam,NY,28087,India,5164,Horizontal 4thgeneration open architecture,hendricksmariah,Germany
473-77-8228,9957,Misc.,Mario,M,Washington,,2003-03-03,F,Single,Germany,679 Giles Canyon Suite 285,,New Thomas,CA,89244,(039)398-5094x8883,001-285-545-1646x2180,+1-762-450-0936x643,ashleymason@hotmail.com,fernandezray@hotmail.com,Bi-Weekly,Bi-Weekly,53477.56,229,Port Oliviahaven,Chiropractor,Weekly,87,Architect revolutionary web-readiness,HR Specialist,0.55,30,2020-03-29,2018-11-21,Active,Waived,,,9172,Y,2025-01-23,graymelissa,Loriborough,GA,64.98,180.03,358.54,USA,7112 Alan Place,,Beverlyside,TX,9097,UK,6680,Centralized scalable Local Area Network,crystal63,Canada
554-77-9569,5966,Mrs.,Heather,M,Baker,,1974-04-15,F,Single,UK,50897 Strong Village,,Port Daniellestad,CA,23113,(381)354-0950x2413,065-551-2900x7046,(591)671-0684x92158,brandiarmstrong@howell-hanson.com,philipbartlett@hotmail.com,Weekly,Bi-Weekly,66026.76,439,Cruzshire,"Exhibitions officer, museum/gallery",Bi-Weekly,33,Repurpose intuitive action-items,HR Specialist,0.96,30,2021-05-05,2025-04-26,Inactive,Pending,,,9117,Y,2025-01-28,fzavala,Port Jennafort,NY,28.18,21.25,4888.29,USA,20334 Ashley Place Apt. 844,,North Jennifer,CA,13391,Canada,6284,Triple-buffered dedicated protocol,pstephenson,USA
719-49-2910,6321,Dr.,Warren,R,Wilson,,1973-05-27,M,Single,USA,3106 Patel Mountain Suite 840,,Delacruzberg,CA,53780,381-571-4409,416-548-9611x96441,(748)073-8327,fjones@mccoy-brooks.com,johnsonmichelle@johnson-wallace.org,Weekly,Weekly,55727.56,341,Perrystad,Retail buyer,Weekly,72,Streamline distributed solutions,Project Manager,0.54,20,2015-08-02,2022-08-14,Inactive,Waived,,,9787,Y,2025-04-28,kbailey,Crawfordland,FL,49.31,2.39,4762.06,UK,0464 Weber Manors,,Brianshire,CA,27494,Germany,5805,Progressive non-volatile success,richard32,India
866-41-9734,8770,Mx.,Jamie,P,Long,,1965-12-22,F,Married,India,44998 Miller Underpass,,Chungton,NY,94693,001-395-646-8146x39735,473-114-9665x723,(850)905-3426,kathywang@franklin.com,gomezjason@johnson-washington.com,Weekly,Monthly,107438.75,179,New Victorchester,Curator,Weekly,22,Repurpose killer architectures,Business Analyst,0.61,40,2022-04-09,2017-07-04,On Leave,Enrolled,,,5302,Y,2025-04-11,bcoleman,East Steven,CA,70.16,49.35,3215.37,UK,37182 John Junctions Suite 279,,Susanstad,NY,33531,USA,4652,Balanced national moderator,dale96,India
404-96-3549,7142,Dr.,Aaron,H,Rodriguez,,1993-02-02,M,Single,Germany,3768 Sandoval Square,,West Sherrimouth,TX,36821,(689)328-7177x08826,(411)607-8453x79507,5972738346,nathanburton@pierce.net,jensenmax@hotmail.com,Weekly,Bi-Weekly,109032.3,431,West Ellen,Trade union research officer,Bi-Weekly,10,Streamline enterprise paradigms,Data Analyst,0.83,40,2016-11-14,2020-07-05,Active,Enrolled,,,2805,Y,2025-01-01,zhall,South Amandaton,CA,69.48,10.77,4365.91,USA,062 Brendan Spurs Apt. 069,,Natashafurt,FL,15847,USA,3164,Total heuristic help-desk,brady65,India
754-52-1745,9014,Mrs.,Shirley,D,Morris,,1978-12-15,M,Single,USA,04843 Justin Plains Suite 920,,Jeffersonstad,CA,79770,762.649.8823,+1-841-057-7487x336,001-734-882-5400x24205,clarkjeffery@fitzpatrick.com,james14@brown.com,Weekly,Monthly,77347.94,230,South Brianna,Meteorologist,Bi-Weekly,41,Grow 24/7 platforms,Project Manager,0.97,30,2023-01-16,2023-04-26,Active,Waived,,,3113,Y,2025-01-10,larsonmichael,East Christophermouth,TX,67.77,19.39,1650.72,Canada,48136 Stevenson Centers,,Mendezhaven,NY,36927,UK,3946,Monitored bifurcated forecast,bondlinda,Canada
514-23-3486,1578,Dr.,Christopher,C,Osborne,,1999-12-27,F,Widowed,Canada,3410 Jenna Manors,,Port Johnbury,TX,23959,+1-187-348-1725x320,7283371711,(756)602-6984,ohouston@yahoo.com,lesparza@gmail.com,Monthly,Monthly,66807.91,128,Brandonfurt,Tourist information centre manager,Weekly,16,Deploy cross-platform functionalities,Data Analyst,0.78,20,2016-02-02,2018-04-25,Active,Pending,,,3394,N,2025-01-13,rdonovan,Michaelfort,TX,54.37,107.17,2101.5,India,79832 Morgan Mall Apt. 302,,Lake Melissamouth,FL,78142,Germany,2271,Adaptive discrete implementation,dominguezjennifer,USA
222-68-4060,7323,Mx.,David,L,Turner,,1970-03-03,M,Single,UK,688 Robinson Field,,South Danielleland,TX,31043,+1-657-164-9926,281-501-4215x7834,+1-571-321-2866x7541,shermansarah@fisher.biz,markthomas@hotmail.com,Weekly,Weekly,101871.11,496,New Jim,Risk analyst,Bi-Weekly,20,Incentivize magnetic vortals,HR Specialist,0.56,40,2015-12-03,2024-03-02,Active,Enrolled,,,2319,Y,2025-05-18,pparker,North Bruce,CA,38.56,67.36,2389.22,Germany,85274 Willis Cove Apt. 834,,Harmonside,CA,34634,Germany,5203,Extended high-level superstructure,dicksonmichelle,Canada
