EID,First,Last,DOB,Sex,Relationship,Student,Disabled,Tobacco User
6159,Danielle,Johnson,2003-10-11,M,Child,Y,Y,Y
9376,John,Taylor,1997-11-27,M,Spouse,N,Y,Y
9957,Erica,Mcclain,1997-05-18,M,Spouse,Y,Y,Y
5966,Brittany,Johnson,1997-08-10,F,Spouse,N,N,Y
6321,Jeffery,Wagner,1995-04-28,M,Child,N,N,Y
8770,Anna,Baldwin,2018-04-13,M,Child,Y,Y,N
7142,Amy,Robinson,2014-06-21,M,Child,N,N,Y
9014,Joshua,Booth,2020-03-28,F,Spouse,N,Y,N
1578,Linda,Wolfe,2005-12-30,F,Spouse,Y,Y,Y
7323,Joshua,Lewis,2020-05-25,F,Spouse,Y,Y,N
1261,Matthew,Davis,1997-09-16,F,Child,N,Y,N
4553,Michael,Cooper,2003-06-03,F,Spouse,N,Y,Y
4656,Lindsay,Blair,2012-08-31,M,Spouse,N,N,N
2136,David,Nielsen,1997-02-06,M,Child,Y,Y,Y
9124,Andrea,Calderon,2015-06-19,F,Child,N,Y,Y
8664,Nicole,Ward,2000-12-17,F,Spouse,N,N,N
1838,Janet,Williams,2002-03-05,M,Child,Y,Y,N
5694,Kendra,Galloway,2023-07-10,F,Child,N,Y,Y
7112,Jesse,Garcia,2003-11-17,F,Spouse,Y,Y,Y
7862,Shawn,Flowers,1999-12-15,M,Child,Y,N,N
3833,Mitchell,Clark,2003-07-03,F,Child,Y,Y,N
5747,Jacqueline,Sutton,1996-11-06,F,Spouse,N,N,Y
3233,Chelsea,Jackson,2019-03-25,F,Spouse,N,Y,Y
3576,John,Ford,2003-08-09,F,Spouse,Y,N,Y
2362,Veronica,Bowman,2013-05-15,M,Child,N,Y,Y
5747,Jeffrey,Nguyen,2020-07-24,F,Child,Y,Y,Y
3048,Kimberly,Perez,1995-07-06,M,Spouse,N,Y,Y
8713,Linda,Morales,1996-09-02,M,Child,Y,N,N
7581,Jason,Hahn,2024-03-28,M,Spouse,N,N,N
7501,Jennifer,Lewis,2011-05-29,F,Child,Y,Y,Y
1011,Randall,Rocha,2010-01-12,M,Child,Y,Y,Y
5223,Douglas,Taylor,2019-10-08,M,Spouse,Y,Y,Y
4760,Anna,Baker,2014-04-23,M,Child,Y,Y,N
6050,Ross,Silva,2006-09-26,F,Spouse,Y,N,Y
1195,Jeffrey,Bright,2011-10-04,F,Child,Y,Y,Y
8179,Trevor,Campos,2023-09-20,F,Child,N,N,N
7573,Daniel,Burton,2021-05-15,M,Spouse,Y,N,N
4078,Erin,Carlson,2007-07-06,M,Spouse,Y,Y,N
3897,Patrick,Ferrell,2012-06-03,M,Child,Y,N,N
7864,John,Tran,1994-10-23,M,Spouse,N,Y,Y
9168,Erin,Wilson,2012-09-09,M,Spouse,Y,Y,N
6588,Karen,Mack,2005-12-29,F,Child,Y,N,Y
5263,Daniel,Graham,2009-11-09,M,Child,Y,N,N
8666,Aaron,Bowen,2018-11-27,F,Child,N,N,Y
8478,Jose,Mason,2000-07-01,M,Child,Y,Y,Y
3193,William,Rodriguez,2015-09-11,F,Spouse,Y,N,Y
8619,Kenneth,Fowler,2015-02-21,M,Spouse,Y,Y,Y
5042,James,Brooks,1999-12-01,M,Child,Y,Y,Y
6537,Amber,Osborne,2012-06-19,M,Child,N,N,Y
5717,Samantha,George,2011-01-17,F,Spouse,N,N,Y
4272,Andrew,Hickman,2024-04-26,F,Child,N,Y,Y
9084,Tricia,Roman,2002-07-26,F,Spouse,Y,Y,N
6798,Brian,Humphrey,1997-02-05,M,Child,Y,Y,N
9450,Christopher,Tucker,1996-10-10,F,Spouse,N,N,Y
8215,Tiffany,Patel,1998-09-12,F,Spouse,Y,N,Y
2974,David,Alvarez,2013-02-15,M,Spouse,N,N,Y
7412,Frederick,Rose,2015-01-22,F,Spouse,N,N,N
7830,Rodney,Lewis,2012-10-08,M,Spouse,N,N,Y
9106,Karina,Vaughn,2018-09-05,M,Child,Y,N,Y
8473,Larry,Carney,2016-07-13,F,Child,Y,Y,Y
6861,Nathaniel,Lam,2009-10-12,M,Spouse,N,Y,N
7276,David,Walker,2005-12-03,M,Spouse,N,N,Y
5982,Andrew,Spencer,2014-06-10,F,Spouse,Y,Y,N
7653,Jeffrey,Jones,2015-11-23,F,Spouse,Y,Y,Y
3121,Brian,Jones,1995-06-28,F,Spouse,Y,N,N
9832,Michele,Jones,2002-07-08,M,Child,Y,Y,N
7540,Joshua,Washington,2012-10-07,M,Child,Y,Y,N
3007,David,Walls,2013-11-06,F,Child,Y,Y,Y
5290,Barbara,Sanchez,2010-07-06,M,Child,N,N,Y
1554,Lindsey,Lee,1997-09-19,F,Child,N,N,Y
5879,Donna,Gomez,2008-05-29,M,Child,Y,N,Y
3077,Stuart,Daniel,2017-05-01,M,Child,N,N,N
1501,Denise,Lucas,1996-06-25,M,Child,Y,N,Y
5882,Richard,Morgan,2023-09-27,F,Spouse,Y,N,N
2315,Daniel,Lee,2012-08-31,M,Child,N,Y,N
4917,Shane,Henderson,2003-11-24,F,Child,N,N,N
2540,Steven,Baxter,1996-12-25,M,Spouse,N,N,Y
4157,Scott,Callahan,2013-02-22,F,Child,Y,N,N
4081,Corey,Pearson,2012-10-24,M,Child,N,N,N
8227,Mary,Novak,2020-01-22,F,Spouse,N,Y,Y
2372,Melinda,Martin,2010-12-11,F,Child,Y,Y,N
1043,Timothy,Hancock,1996-05-31,M,Spouse,Y,Y,Y
3267,Franklin,Smith,2007-09-14,M,Child,Y,N,N
8738,Joseph,Bowers,2009-11-25,M,Child,N,N,Y
2981,Justin,Horton,2019-04-11,M,Spouse,Y,N,Y
1812,Wendy,Peters,2018-11-12,M,Child,Y,Y,Y
1915,Tommy,Lee,2001-10-29,F,Spouse,N,N,N
6220,Tanya,Riley,2012-11-13,F,Child,Y,N,N
